kbPos,-0.8903,0.1796,-0.9374,kbRot,20.0000,273.7352,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8389,-0.1179,-0.9095,-0.8938,-0.0226,-0.9346,-0.5026,0.3104,-0.9988,0.701275,0.142135,-0.693325,0.085504,1104526.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8447,-0.1008,-0.9176,-0.8996,-0.0056,-0.9427,-0.5029,0.3105,-0.9991,0.701316,0.141467,-0.693413,0.085568,1104544.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8447,-0.1008,-0.9176,-0.8996,-0.0056,-0.9427,-0.5031,0.3105,-0.9994,0.701366,0.141099,-0.693419,0.085714,1104562.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8488,-0.0847,-0.9245,-0.9038,0.0106,-0.9496,-0.5033,0.3105,-0.9997,0.701398,0.141017,-0.693440,0.085415,1104579.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8488,-0.0847,-0.9245,-0.9038,0.0106,-0.9496,-0.5039,0.3106,-1.0004,0.701549,0.140522,-0.693484,0.084634,1104596.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8516,-0.0700,-0.9304,-0.9066,0.0252,-0.9555,-0.5043,0.3107,-1.0007,0.701616,0.139692,-0.693593,0.084554,1104614.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8516,-0.0700,-0.9304,-0.9066,0.0252,-0.9555,-0.5047,0.3107,-1.0011,0.701485,0.139053,-0.693811,0.084912,1104632.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8542,-0.0561,-0.9352,-0.9091,0.0392,-0.9604,-0.5050,0.3107,-1.0014,0.701142,0.138442,-0.694184,0.085690,1104649.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8572,-0.0431,-0.9385,-0.9121,0.0522,-0.9636,-0.5053,0.3107,-1.0018,0.700835,0.137930,-0.694539,0.086152,1104668.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8572,-0.0431,-0.9385,-0.9121,0.0522,-0.9637,-0.5056,0.3107,-1.0021,0.700508,0.137658,-0.694901,0.086327,1104688.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8593,-0.0313,-0.9418,-0.9142,0.0640,-0.9671,-0.5059,0.3107,-1.0025,0.700119,0.137811,-0.695208,0.086755,1104709.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8593,-0.0313,-0.9418,-0.9142,0.0640,-0.9671,-0.5061,0.3106,-1.0028,0.699770,0.138026,-0.695457,0.087237,1104726.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8608,-0.0205,-0.9449,-0.9156,0.0747,-0.9702,-0.5063,0.3104,-1.0032,0.699403,0.138402,-0.695655,0.088006,1104745.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8608,-0.0205,-0.9449,-0.9156,0.0747,-0.9703,-0.5067,0.3102,-1.0039,0.698776,0.139182,-0.695987,0.089119,1104764.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8611,-0.0096,-0.9478,-0.9158,0.0856,-0.9732,-0.5068,0.3100,-1.0043,0.698648,0.140001,-0.695873,0.089729,1104784.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8620,0.0002,-0.9500,-0.9168,0.0954,-0.9755,-0.5070,0.3098,-1.0047,0.698662,0.140631,-0.695690,0.090055,1104803.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8620,0.0002,-0.9500,-0.9168,0.0954,-0.9754,-0.5071,0.3097,-1.0050,0.698935,0.140661,-0.695362,0.090427,1104821.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8621,0.0089,-0.9524,-0.9170,0.1042,-0.9777,-0.5073,0.3097,-1.0054,0.699311,0.140385,-0.695038,0.090437,1104840.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8621,0.0089,-0.9524,-0.9170,0.1042,-0.9777,-0.5073,0.3098,-1.0058,0.699767,0.140008,-0.694673,0.090302,1104857.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8626,0.0168,-0.9548,-0.9175,0.1121,-0.9800,-0.5074,0.3098,-1.0062,0.700099,0.139405,-0.694434,0.090493,1104876.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8626,0.0168,-0.9548,-0.9176,0.1121,-0.9799,-0.5074,0.3099,-1.0067,0.700321,0.138685,-0.694296,0.090941,1104895.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8628,0.0236,-0.9565,-0.9177,0.1189,-0.9816,-0.5074,0.3098,-1.0077,0.700628,0.137906,-0.694021,0.091859,1104914.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8633,0.0298,-0.9581,-0.9182,0.1250,-0.9832,-0.5073,0.3098,-1.0084,0.700555,0.137524,-0.694121,0.092226,1104934.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8633,0.0298,-0.9581,-0.9182,0.1250,-0.9832,-0.5072,0.3098,-1.0091,0.700678,0.136977,-0.694111,0.092180,1104951.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8650,0.0307,-0.9591,-0.9200,0.1259,-0.9841,-0.5071,0.3099,-1.0097,0.700854,0.136495,-0.694061,0.091938,1104971.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8650,0.0307,-0.9591,-0.9200,0.1259,-0.9841,-0.5070,0.3099,-1.0102,0.701003,0.136233,-0.693965,0.091919,1104988.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8665,0.0321,-0.9598,-0.9215,0.1274,-0.9847,-0.5069,0.3099,-1.0107,0.701265,0.136289,-0.693694,0.091873,1105008.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8665,0.0321,-0.9598,-0.9215,0.1274,-0.9847,-0.5067,0.3099,-1.0111,0.701669,0.136599,-0.693237,0.091780,1105029.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8679,0.0344,-0.9607,-0.9230,0.1296,-0.9854,-0.5064,0.3099,-1.0120,0.702496,0.136600,-0.692419,0.091626,1105048.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8634,0.0467,-0.9624,-0.9185,0.1420,-0.9871,-0.5063,0.3100,-1.0124,0.703072,0.136343,-0.691907,0.091463,1105066.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8634,0.0467,-0.9624,-0.9185,0.1420,-0.9870,-0.5062,0.3101,-1.0127,0.703525,0.135436,-0.691661,0.091183,1105083.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8634,0.0467,-0.9624,-0.9185,0.1420,-0.9870,-0.5061,0.3103,-1.0132,0.703884,0.134747,-0.691480,0.090806,1105102.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8634,0.0467,-0.9624,-0.9185,0.1420,-0.9870,-0.5059,0.3104,-1.0136,0.703876,0.134192,-0.691604,0.090747,1105121.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8630,0.0491,-0.9642,-0.9182,0.1444,-0.9887,-0.5059,0.3104,-1.0141,0.703790,0.133623,-0.691787,0.090863,1105139.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8626,0.0513,-0.9649,-0.9178,0.1465,-0.9895,-0.5057,0.3105,-1.0146,0.703455,0.133213,-0.692160,0.091209,1105158.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8626,0.0513,-0.9649,-0.9178,0.1465,-0.9896,-0.5056,0.3105,-1.0150,0.703165,0.132923,-0.692478,0.091454,1105177.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8624,0.0534,-0.9654,-0.9176,0.1487,-0.9901,-0.5055,0.3106,-1.0155,0.702855,0.132497,-0.692852,0.091634,1105195.00,,,,,,,,,,,,,,,,,,,,,,,,,
