Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=2650, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		970 train individual data points
		51 valid individual data points
		30 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved\model.ckpt-89000
training...
learning rate: 9.999999747378752e-05
90840/125000, loss = -16.007, regloss = -14.09566, valid_loss = -14.032, time = 3.653
90850/125000, loss = -14.937, regloss = -14.03960, valid_loss = -11.610, time = 3.311
90860/125000, loss = -15.423, regloss = -14.13112, valid_loss = -13.974, time = 3.465
90870/125000, loss = -15.588, regloss = -14.24077, valid_loss = -13.368, time = 3.289
90880/125000, loss = -15.245, regloss = -14.35676, valid_loss = -14.379, time = 3.498
90890/125000, loss = 0.347, regloss = -13.99520, valid_loss = -0.909, time = 3.498
90900/125000, loss = -5.038, regloss = -12.98730, valid_loss = -4.501, time = 3.454
90910/125000, loss = -8.520, regloss = -12.53546, valid_loss = -9.341, time = 3.628
90920/125000, loss = -8.504, regloss = -12.26142, valid_loss = -9.551, time = 3.428
90930/125000, loss = -13.066, regloss = -12.11081, valid_loss = -10.648, time = 3.810
90940/125000, loss = -14.918, regloss = -12.14579, valid_loss = -12.837, time = 5.103
90950/125000, loss = -14.615, regloss = -12.38646, valid_loss = -12.671, time = 3.508
90960/125000, loss = -15.246, regloss = -12.64663, valid_loss = -13.149, time = 3.601
90970/125000, loss = -15.346, regloss = -12.88719, valid_loss = -13.153, time = 3.571
90980/125000, loss = -15.572, regloss = -13.11308, valid_loss = -13.119, time = 3.521
90990/125000, loss = -15.511, regloss = -13.32069, valid_loss = -13.118, time = 3.631
learning rate: 9.999999747378752e-05
SAVED MODEL
91000/125000, loss = -15.283, regloss = -13.50397, valid_loss = -13.473, time = 3.537
91010/125000, loss = -15.589, regloss = -13.68678, valid_loss = -13.656, time = 3.584
91020/125000, loss = -14.215, regloss = -13.85308, valid_loss = -13.028, time = 3.534
91030/125000, loss = -15.219, regloss = -13.99310, valid_loss = -13.717, time = 3.689
91040/125000, loss = -15.363, regloss = -14.13680, valid_loss = -14.011, time = 3.440
91050/125000, loss = -15.458, regloss = -14.25406, valid_loss = -13.943, time = 3.569
91060/125000, loss = -15.432, regloss = -14.36318, valid_loss = -13.860, time = 3.979
91070/125000, loss = -15.520, regloss = -14.47767, valid_loss = -13.970, time = 3.582
91080/125000, loss = -12.778, regloss = -14.51832, valid_loss = -8.912, time = 3.521
91090/125000, loss = -15.061, regloss = -14.42913, valid_loss = -13.135, time = 3.818
91100/125000, loss = -15.234, regloss = -14.45514, valid_loss = -14.304, time = 3.557
91110/125000, loss = -14.885, regloss = -14.48540, valid_loss = -14.109, time = 3.580
91120/125000, loss = -13.073, regloss = -14.40199, valid_loss = -12.682, time = 3.640
91130/125000, loss = -9.176, regloss = -14.18911, valid_loss = -2.397, time = 3.622
91140/125000, loss = -13.150, regloss = -13.81325, valid_loss = -12.561, time = 3.667
91150/125000, loss = -14.023, regloss = -13.87870, valid_loss = -14.335, time = 3.341
91160/125000, loss = -14.907, regloss = -13.88247, valid_loss = -13.300, time = 3.331
91170/125000, loss = -15.927, regloss = -14.02545, valid_loss = -13.234, time = 3.473
91180/125000, loss = -15.716, regloss = -14.16253, valid_loss = -13.836, time = 3.324
91190/125000, loss = -15.647, regloss = -14.29914, valid_loss = -14.236, time = 3.553
91200/125000, loss = -12.587, regloss = -14.28859, valid_loss = -14.388, time = 3.592
91210/125000, loss = -13.686, regloss = -14.21984, valid_loss = -13.419, time = 3.581
91220/125000, loss = -15.600, regloss = -14.30903, valid_loss = -13.548, time = 3.471
91230/125000, loss = -14.309, regloss = -14.36786, valid_loss = -12.535, time = 3.560
91240/125000, loss = -13.814, regloss = -14.35925, valid_loss = -11.548, time = 3.535
91250/125000, loss = -14.940, regloss = -14.31208, valid_loss = -12.821, time = 3.501
91260/125000, loss = -15.009, regloss = -14.37974, valid_loss = -13.899, time = 3.946
91270/125000, loss = -12.877, regloss = -14.34145, valid_loss = -13.635, time = 3.315
91280/125000, loss = -15.535, regloss = -14.39418, valid_loss = -14.315, time = 3.422
91290/125000, loss = -16.070, regloss = -14.46117, valid_loss = -11.658, time = 3.549
91300/125000, loss = -12.896, regloss = -14.28390, valid_loss = -13.743, time = 5.456
91310/125000, loss = -13.949, regloss = -14.27331, valid_loss = -13.964, time = 3.484
91320/125000, loss = -13.067, regloss = -14.22593, valid_loss = -13.140, time = 3.559
91330/125000, loss = -14.417, regloss = -14.26247, valid_loss = -14.048, time = 3.481
91340/125000, loss = -15.269, regloss = -14.36532, valid_loss = -13.965, time = 3.453
91350/125000, loss = -15.507, regloss = -14.46124, valid_loss = -14.045, time = 3.528
91360/125000, loss = -15.430, regloss = -14.56810, valid_loss = -14.096, time = 3.553
91370/125000, loss = -14.290, regloss = -14.64380, valid_loss = -14.372, time = 3.553
91380/125000, loss = -14.650, regloss = -14.72837, valid_loss = -12.707, time = 3.589
91390/125000, loss = -13.390, regloss = -14.69023, valid_loss = -13.256, time = 3.519
91400/125000, loss = -15.647, regloss = -14.73337, valid_loss = -13.224, time = 3.315
91410/125000, loss = -14.816, regloss = -14.72577, valid_loss = -12.018, time = 3.608
91420/125000, loss = -15.583, regloss = -14.79496, valid_loss = -14.260, time = 3.574
91430/125000, loss = -14.735, regloss = -14.88506, valid_loss = -13.137, time = 3.511
91440/125000, loss = -14.926, regloss = -14.87380, valid_loss = -14.330, time = 3.581
91450/125000, loss = -14.657, regloss = -14.85038, valid_loss = -13.497, time = 3.578
91460/125000, loss = -13.680, regloss = -14.76559, valid_loss = -13.074, time = 3.602
91470/125000, loss = -15.518, regloss = -14.77528, valid_loss = -14.470, time = 3.592
91480/125000, loss = -2.762, regloss = -14.42216, valid_loss = -4.447, time = 3.516
91490/125000, loss = -15.241, regloss = -14.22357, valid_loss = -13.029, time = 3.602
learning rate: 9.999999747378752e-05
SAVED MODEL
91500/125000, loss = -14.836, regloss = -14.25698, valid_loss = -12.982, time = 3.620
91510/125000, loss = -15.190, regloss = -14.34275, valid_loss = -14.283, time = 3.318
91520/125000, loss = -14.846, regloss = -14.41725, valid_loss = -12.784, time = 3.523
91530/125000, loss = -14.361, regloss = -14.46041, valid_loss = -13.844, time = 3.989
91540/125000, loss = -15.292, regloss = -14.47995, valid_loss = -11.718, time = 3.515
91550/125000, loss = -15.337, regloss = -14.42974, valid_loss = -13.364, time = 3.539
91560/125000, loss = -7.370, regloss = -14.36010, valid_loss = -9.959, time = 3.570
91570/125000, loss = -3.008, regloss = -13.43521, valid_loss = -3.768, time = 3.521
91580/125000, loss = -8.313, regloss = -12.72566, valid_loss = -5.433, time = 3.989
